Num0,null
Num1,eins
Num2,zwei
Num3,drei
Num4,vier
Num5,fünf
Num6,sechs
Num7,sieben
Num8,acht
Num9,neun
Num10,zehn
Num11,elf
Num12,zwölf
Num13,dreizehn
Num14,vierzehn
Num15,fünfzehn
Num16,sechszehn
Num17,siebzehn
Num18,achtzehn
Num19,neunzehn
Num20,zwanzig
Num21,einundzwanzig
Num22,zweiundzwanzig
Num23,dreiundzwanzig
Num24,vierundzwanzig
Num25,fünfundzwanzig
Num26,sechsundzwanzig
Num27,siebenundzwanzig
Num28,achtundzwanzig
Num29,neunundzwanzig
Num30,dreißig
Num31,einunddreißig
Num32,zweiunddreißig
Num33,dreiunddreißig
Num34,vierunddreißig
Num35,fünfunddreißig
Num36,sechsunddreißig
Num37,siebenunddreißig
Num38,achtunddreißig
Num39,neununddreißig
Num40,vierzig
Num41,einundvierzig
Num42,zweiundvierzig
Num43,dreiundvierzig
Num44,vierundvierzig
Num45,fünfundvierzig
Num46,sechsundvierzig
Num47,siebenundvierzig
Num48,achtundvierzig
Num49,neunundvierzig
Num50,fünfzig
Num51,einundfünfzig
Num52,zweiundfünfzig
Num53,dreiundfünfzig
Num54,vierundfünfzig
Num55,fünfundfünfzig
Num56,sechsundfünfzig
Num57,siebenundfünfzig
Num58,achtundfünfzig
Num59,neunundfünfzig
Num60,sechzig
Num61,einundsechzig
Num62,zweiundsechzig
Num63,dreiundsechzig
Num64,vierundsechzig
Num65,fünfundsechzig
Num66,sechsundsechzig
Num67,siebenundsechzig
Num68,achtundsechzig
Num69,neunundsechzig
Num70,siebzig
Num71,einundsiebzig
Num72,zweiundsiebzig
Num73,dreiundsiebzig
Num74,vierundsiebzig
Num75,fünfundsiebzig
Num76,sechsundsiebzig
Num77,siebenundsiebzig
Num78,achtundsiebzig
Num79,neunundsiebzig
Num80,achtzig
Num81,einundachtzig
Num82,zweiundachtzig
Num83,dreiundachtzig
Num84,vierundachtzig
Num85,fünfundachtzig
Num86,sechsundachtzig
Num87,siebenundachtzig
Num88,achtundachtzig
Num89,neunundachtzig
Num90,neunzig
Num91,einundneunzig
Num92,zweiundneunzig
Num93,dreiundneunzig
Num94,vierundneunzig
Num95,fünfundneunzig
Num96,sechsundneunzig
Num97,siebenundneunzig
Num98,achtundneunzig
Num99,neunundneunzig